# h = 0.01
# t   KE   PE   E_total
1.78 785.089 464.911 1250
1.79 783.339 466.661 1250
1.8 781.598 468.402 1250
1.81 779.867 470.133 1250
1.82 778.145 471.855 1250
1.83 776.433 473.567 1250
1.84 774.73 475.27 1250
1.85 773.038 476.962 1250
1.86 771.354 478.646 1250
1.87 769.681 480.319 1250
1.88 768.017 481.983 1250
1.89 766.363 483.637 1250
1.9 764.718 485.282 1250
1.91 763.083 486.917 1250
1.92 761.457 488.543 1250
1.93 759.842 490.158 1250
1.94 758.235 491.765 1250
1.95 756.639 493.361 1250
1.96 755.052 494.948 1250
1.97 753.475 496.525 1250
1.98 751.907 498.093 1250
1.99 750.349 499.651 1250
2 748.8 501.2 1250
2.01 747.262 502.738 1250
2.02 745.732 504.268 1250
2.03 744.213 505.787 1250
2.04 742.703 507.297 1250
2.05 741.203 508.797 1250
2.06 739.712 510.288 1250
2.07 738.231 511.769 1250
2.08 736.759 513.241 1250
2.09 735.297 514.703 1250
2.1 733.845 516.155 1250
2.11 732.403 517.597 1250
2.12 730.97 519.03 1250
2.13 729.546 520.454 1250
2.14 728.133 521.867 1250
2.15 726.729 523.271 1250
2.16 725.334 524.666 1250
2.17 723.949 526.051 1250
2.18 722.574 527.426 1250
2.19 721.208 528.792 1250
2.2 719.852 530.148 1250
2.21 718.506 531.494 1250
2.22 717.169 532.831 1250
2.23 715.842 534.158 1250
2.24 714.525 535.475 1250
2.25 713.217 536.783 1250
2.26 711.919 538.081 1250
2.27 710.63 539.37 1250
2.28 709.351 540.649 1250
2.29 708.082 541.918 1250
2.3 706.822 543.178 1250
2.31 705.572 544.428 1250
2.32 704.331 545.669 1250
2.33 703.1 546.9 1250
2.34 701.879 548.121 1250
2.35 700.668 549.332 1250
2.36 699.466 550.534 1250
2.37 698.273 551.727 1250
2.38 697.09 552.91 1250
2.39 695.917 554.083 1250
2.4 694.754 555.246 1250
2.41 693.6 556.4 1250
2.42 692.456 557.544 1250
2.43 691.321 558.679 1250
2.44 690.196 559.804 1250
2.45 689.081 560.919 1250
2.46 687.975 562.025 1250
2.47 686.879 563.121 1250
2.48 685.792 564.208 1250
2.49 684.715 565.285 1250
2.5 683.648 566.352 1250
2.51 682.59 567.41 1250
2.52 681.542 568.458 1250
2.53 680.504 569.496 1250
2.54 679.475 570.525 1250
2.55 678.456 571.544 1250
2.56 677.447 572.553 1250
2.57 676.447 573.553 1250
2.58 675.456 574.544 1250
2.59 674.476 575.524 1250
2.6 673.505 576.495 1250
2.61 672.543 577.457 1250
2.62 671.592 578.408 1250
2.63 670.649 579.351 1250
2.64 669.717 580.283 1250
2.65 668.794 581.206 1250
2.66 667.881 582.119 1250
2.67 666.977 583.023 1250
2.68 666.083 583.917 1250
2.69 665.199 584.801 1250
2.7 664.324 585.676 1250
2.71 663.459 586.541 1250
2.72 662.603 587.397 1250
2.73 661.757 588.243 1250
2.74 660.921 589.079 1250
2.75 660.094 589.906 1250
2.76 659.277 590.723 1250
2.77 658.47 591.53 1250
2.78 657.672 592.328 1250
2.79 656.884 593.116 1250
2.8 656.105 593.895 1250
2.81 655.336 594.664 1250
2.82 654.577 595.423 1250
2.83 653.827 596.173 1250
2.84 653.087 596.913 1250
2.85 652.357 597.643 1250
2.86 651.636 598.364 1250
2.87 650.925 599.075 1250
2.88 650.223 599.777 1250
2.89 649.531 600.469 1250
2.9 648.849 601.151 1250
2.91 648.176 601.824 1250
2.92 647.513 602.487 1250
2.93 646.86 603.14 1250
2.94 646.216 603.784 1250
2.95 645.581 604.419 1250
2.96 644.957 605.043 1250
2.97 644.342 605.658 1250
2.98 643.737 606.263 1250
2.99 643.141 606.859 1250
3 642.555 607.445 1250
3.01 641.978 608.022 1250
3.02 641.412 608.588 1250
3.03 640.854 609.146 1250
3.04 640.307 609.693 1250
3.05 639.769 610.231 1250
3.06 639.24 610.76 1250
3.07 638.722 611.278 1250
3.08 638.213 611.787 1250
3.09 637.713 612.287 1250
3.1 637.223 612.777 1250
3.11 636.743 613.257 1250
3.12 636.272 613.728 1250
3.13 635.811 614.189 1250
3.14 635.36 614.64 1250
3.15 634.918 615.082 1250
3.16 634.486 615.514 1250
3.17 634.064 615.936 1250
3.18 633.651 616.349 1250
3.19 633.248 616.752 1250
3.2 632.854 617.146 1250
3.21 632.47 617.53 1250
3.22 632.096 617.904 1250
3.23 631.731 618.269 1250
3.24 631.376 618.624 1250
3.25 631.03 618.97 1250
3.26 630.694 619.306 1250
3.27 630.368 619.632 1250
3.28 630.052 619.948 1250
3.29 629.745 620.255 1250
3.3 629.447 620.553 1250
3.31 629.159 620.841 1250
3.32 628.881 621.119 1250
3.33 628.613 621.387 1250
3.34 628.354 621.646 1250
3.35 628.105 621.895 1250
3.36 627.865 622.135 1250
3.37 627.635 622.365 1250
3.38 627.415 622.585 1250
3.39 627.204 622.796 1250
3.4 627.003 622.997 1250
3.41 626.811 623.189 1250
3.42 626.629 623.371 1250
3.43 626.457 623.543 1250
3.44 626.294 623.706 1250
3.45 626.141 623.859 1250
3.46 625.998 624.002 1250
3.47 625.864 624.136 1250
3.48 625.74 624.26 1250
3.49 625.625 624.375 1250
3.5 625.521 624.479 1250
3.51 625.425 624.575 1250
3.52 625.34 624.66 1250
3.53 625.264 624.736 1250
3.54 625.197 624.803 1250
3.55 625.14 624.86 1250
3.56 625.093 624.907 1250
3.57 625.056 624.944 1250
3.58 625.028 624.972 1250
3.59 625.009 624.991 1250
3.6 625.001 624.999 1250
3.61 625.002 624.998 1250
3.62 625.012 624.988 1250
3.63 625.033 624.967 1250
3.64 625.062 624.938 1250
3.65 625.102 624.898 1250
3.66 625.151 624.849 1250
3.67 625.21 624.79 1250
3.68 625.278 624.722 1250
3.69 625.356 624.644 1250
3.7 625.443 624.557 1250
3.71 625.541 624.459 1250
3.72 625.647 624.353 1250
3.73 625.764 624.236 1250
3.74 625.89 624.11 1250
3.75 626.026 623.974 1250
3.76 626.171 623.829 1250
3.77 626.326 623.674 1250
3.78 626.49 623.51 1250
3.79 626.665 623.335 1250
3.8 626.848 623.152 1250
3.81 627.042 622.958 1250
3.82 627.245 622.755 1250
3.83 627.457 622.543 1250
3.84 627.68 622.32 1250
3.85 627.912 622.088 1250
3.86 628.153 621.847 1250
3.87 628.404 621.596 1250
3.88 628.665 621.335 1250
3.89 628.936 621.064 1250
3.9 629.216 620.784 1250
3.91 629.505 620.495 1250
3.92 629.805 620.195 1250
3.93 630.113 619.887 1250
3.94 630.432 619.568 1250
3.95 630.76 619.24 1250
3.96 631.098 618.902 1250
3.97 631.445 618.555 1250
3.98 631.802 618.198 1250
3.99 632.169 617.831 1250
4 632.545 617.455 1250
4.01 632.931 617.069 1250
4.02 633.327 616.673 1250
4.03 633.732 616.268 1250
4.04 634.147 615.853 1250
4.05 634.571 615.429 1250
4.06 635.005 614.995 1250
4.07 635.449 614.551 1250
4.08 635.902 614.098 1250
4.09 636.365 613.635 1250
4.1 636.837 613.163 1250
4.11 637.319 612.681 1250
4.12 637.811 612.189 1250
4.13 638.313 611.687 1250
4.14 638.824 611.176 1250
4.15 639.344 610.656 1250
4.16 639.874 610.126 1250
4.17 640.414 609.586 1250
4.18 640.964 609.036 1250
4.19 641.523 608.477 1250
4.2 642.092 607.908 1250
4.21 642.67 607.33 1250
4.22 643.258 606.742 1250
4.23 643.856 606.144 1250
4.24 644.463 605.537 1250
4.25 645.08 604.92 1250
4.26 645.706 604.294 1250
4.27 646.342 603.658 1250
4.28 646.988 603.012 1250
4.29 647.643 602.357 1250
4.3 648.308 601.692 1250
4.31 648.983 601.017 1250
4.32 649.667 600.333 1250
4.33 650.361 599.639 1250
4.34 651.065 598.935 1250
4.35 651.778 598.222 1250
4.36 652.5 597.5 1250
4.37 653.233 596.767 1250
4.38 653.975 596.025 1250
4.39 654.726 595.274 1250
4.4 655.488 594.512 1250
4.41 656.258 593.742 1250
4.42 657.039 592.961 1250
4.43 657.829 592.171 1250
4.44 658.629 591.371 1250
4.45 659.438 590.562 1250
4.46 660.257 589.743 1250
4.47 661.086 588.914 1250
4.48 661.924 588.076 1250
4.49 662.772 587.228 1250
4.5 663.629 586.371 1250
4.51 664.496 585.504 1250
4.52 665.373 584.627 1250
4.53 666.259 583.741 1250
4.54 667.155 582.845 1250
4.55 668.061 581.939 1250
4.56 668.976 581.024 1250
4.57 669.901 580.099 1250
4.58 670.835 579.165 1250
4.59 671.779 578.221 1250
4.6 672.733 577.267 1250
4.61 673.696 576.304 1250
4.62 674.669 575.331 1250
4.63 675.652 574.348 1250
4.64 676.644 573.356 1250
4.65 677.646 572.354 1250
4.66 678.657 571.343 1250
4.67 679.678 570.322 1250
4.68 680.709 569.291 1250
4.69 681.749 568.251 1250
4.7 682.799 567.201 1250
4.71 683.859 566.141 1250
4.72 684.928 565.072 1250
4.73 686.007 563.993 1250
4.74 687.095 562.905 1250
4.75 688.193 561.807 1250
4.76 689.301 560.699 1250
4.77 690.418 559.582 1250
4.78 691.545 558.455 1250
4.79 692.682 557.318 1250
4.8 693.828 556.172 1250
4.81 694.983 555.017 1250
4.82 696.149 553.851 1250
4.83 697.324 552.676 1250
4.84 698.509 551.491 1250
4.85 699.703 550.297 1250
4.86 700.907 549.093 1250
4.87 702.12 547.88 1250
4.88 703.343 546.657 1250
4.89 704.576 545.424 1250
4.9 705.819 544.181 1250
4.91 707.071 542.929 1250
4.92 708.332 541.668 1250
4.93 709.604 540.396 1250
4.94 710.884 539.116 1250
4.95 712.175 537.825 1250
4.96 713.475 536.525 1250
4.97 714.785 535.215 1250
4.98 716.104 533.896 1250
4.99 717.433 532.567 1250
5 718.772 531.228 1250
5.01 720.12 529.88 1250
5.02 721.478 528.522 1250
5.03 722.846 527.154 1250
5.04 724.223 525.777 1250
5.05 725.609 524.391 1250
5.06 727.006 522.994 1250
5.07 728.412 521.588 1250
5.08 729.827 520.173 1250
5.09 731.253 518.747 1250
5.1 732.688 517.312 1250
5.11 734.132 515.868 1250
5.12 735.586 514.414 1250
5.13 737.05 512.95 1250
5.14 738.523 511.477 1250
5.15 740.006 509.994 1250
5.16 741.499 508.501 1250
5.17 743.001 506.999 1250
5.18 744.513 505.487 1250
5.19 746.034 503.966 1250
5.2 747.566 502.434 1250
5.21 749.106 500.894 1250
5.22 750.657 499.343 1250
5.23 752.217 497.783 1250
5.24 753.786 496.214 1250
5.25 755.365 494.635 1250
5.26 756.954 493.046 1250
5.27 758.553 491.447 1250
5.28 760.161 489.839 1250
5.29 761.779 488.221 1250
5.3 763.406 486.594 1250
5.31 765.043 484.957 1250
5.32 766.689 483.311 1250
5.33 768.346 481.654 1250
5.34 770.011 479.989 1250
5.35 771.687 478.313 1250
5.36 773.372 476.628 1250
5.37 775.067 474.933 1250
5.38 776.771 473.229 1250
5.39 778.485 471.515 1250
5.4 780.209 469.791 1250
5.41 781.942 468.058 1250
5.42 783.685 466.315 1250
5.43 785.437 464.563 1250
5.44 787.199 462.801 1250
5.45 788.971 461.029 1250
5.46 790.752 459.248 1250
5.47 792.543 457.457 1250
5.48 794.344 455.656 1250
5.49 796.154 453.846 1250
5.5 797.974 452.026 1250
5.51 799.803 450.197 1250
5.52 801.642 448.358 1250
5.53 803.491 446.509 1250
5.54 805.349 444.651 1250
5.55 807.217 442.783 1250
5.56 809.095 440.905 1250
5.57 810.982 439.018 1250
5.58 812.879 437.121 1250
5.59 814.785 435.215 1250
5.6 816.701 433.299 1250
5.61 818.627 431.373 1250
5.62 820.562 429.438 1250
5.63 822.507 427.493 1250
5.64 824.462 425.538 1250
5.65 826.426 423.574 1250
5.66 828.4 421.6 1250
5.67 830.383 419.617 1250
5.68 832.376 417.624 1250
5.69 834.379 415.621 1250
5.7 836.391 413.609 1250
5.71 838.413 411.587 1250
5.72 840.444 409.556 1250
5.73 842.486 407.514 1250
5.74 844.536 405.464 1250
5.75 846.597 403.403 1250
5.76 848.667 401.333 1250
5.77 850.746 399.254 1250
5.78 852.836 397.164 1250
5.79 854.935 395.065 1250
5.8 857.043 392.957 1250
5.81 859.161 390.839 1250
5.82 861.289 388.711 1250
5.83 863.426 386.574 1250
5.84 865.573 384.427 1250
5.85 867.73 382.27 1250
5.86 869.896 380.104 1250
5.87 872.072 377.928 1250
5.88 874.258 375.742 1250
5.89 876.453 373.547 1250
5.9 878.658 371.342 1250
5.91 880.872 369.128 1250
5.92 883.096 366.904 1250
5.93 885.33 364.67 1250
5.94 887.573 362.427 1250
5.95 889.826 360.174 1250
5.96 892.088 357.912 1250
5.97 894.36 355.64 1250
5.98 896.642 353.358 1250
5.99 898.934 351.066 1250
6 901.235 348.765 1250
6.01 903.545 346.455 1250
6.02 905.865 344.135 1250
6.03 908.195 341.805 1250
6.04 910.535 339.465 1250
6.05 912.884 337.116 1250
6.06 915.243 334.757 1250
6.07 917.611 332.389 1250
6.08 919.989 330.011 1250
6.09 922.377 327.623 1250
6.1 924.774 325.226 1250
6.11 927.181 322.819 1250
6.12 929.597 320.403 1250
6.13 932.023 317.977 1250
6.14 934.459 315.541 1250
6.15 936.904 313.096 1250
6.16 939.359 310.641 1250
6.17 941.824 308.176 1250
6.18 944.298 305.702 1250
6.19 946.782 303.218 1250
6.2 949.275 300.725 1250
6.21 951.779 298.221 1250
6.22 954.291 295.709 1250
6.23 956.814 293.186 1250
6.24 959.346 290.654 1250
6.25 961.887 288.113 1250
6.26 964.438 285.562 1250
6.27 966.999 283.001 1250
6.28 969.57 280.43 1250
6.29 972.15 277.85 1250
6.3 974.739 275.261 1250
6.31 977.339 272.661 1250
6.32 979.948 270.052 1250
6.33 982.566 267.434 1250
6.34 985.194 264.806 1250
6.35 987.832 262.168 1250
6.36 990.48 259.52 1250
6.37 993.137 256.863 1250
6.38 995.803 254.197 1250
6.39 998.48 251.52 1250
6.4 1001.17 248.834 1250
6.41 1003.86 246.139 1250
6.42 1006.57 243.434 1250
6.43 1009.28 240.719 1250
6.44 1012.01 237.994 1250
6.45 1014.74 235.26 1250
6.46 1017.48 232.517 1250
6.47 1020.24 229.763 1250
6.48 1023 227 1250
6.49 1025.77 224.228 1250
6.5 1028.55 221.446 1250
